Date,Open,High,Low,Close,Volume
11-Feb-11,27.76,27.81,27.07,27.25,83939643
10-Feb-11,27.93,27.94,27.29,27.5,76672349
9-Feb-11,28.19,28.26,27.91,27.97,52905018
8-Feb-11,28.1,28.34,28.05,28.28,34910467
7-Feb-11,27.8,28.34,27.79,28.2,68980871
4-Feb-11,27.7,27.84,27.51,27.77,40416627
3-Feb-11,27.96,27.97,27.54,27.65,60340059
2-Feb-11,27.93,28.11,27.88,27.94,45836488
1-Feb-11,27.8,28.06,27.61,27.99,62810661
31-Jan-11,27.77,27.9,27.42,27.72,65028938
28-Jan-11,28.9,28.93,27.45,27.75,141259158
27-Jan-11,28.75,29.46,28.49,28.87,146938589
26-Jan-11,28.51,28.99,28.5,28.78,74628760
25-Jan-11,28.14,28.45,28.12,28.45,42436532
24-Jan-11,28.02,28.56,27.99,28.38,52055812
21-Jan-11,28.4,28.43,28.02,28.02,58080269
20-Jan-11,28.5,28.55,28.13,28.35,58621931
19-Jan-11,28.46,28.68,28.27,28.47,50005830
18-Jan-11,28.16,28.74,28.14,28.66,53332616
14-Jan-11,28.3,28.3,28.3,28.3,0
13-Jan-11,28.33,28.39,28.01,28.19,67082768
12-Jan-11,28.12,28.59,28.07,28.55,52636699
11-Jan-11,28.2,28.25,28.05,28.11,50308414
10-Jan-11,28.26,28.4,28.04,28.22,57573450
7-Jan-11,28.64,28.74,28.25,28.6,73761979
6-Jan-11,28.04,28.85,27.86,28.82,88026271
5-Jan-11,27.9,28.01,27.77,28,58998239
4-Jan-11,27.94,28.17,27.85,28.09,54409555
3-Jan-11,28.05,28.18,27.92,27.98,53450110
31-Dec-10,27.8,27.92,27.63,27.91,24791329
30-Dec-10,27.92,28,27.78,27.85,20790442
29-Dec-10,27.94,28.12,27.88,27.97,19505935
28-Dec-10,27.97,28.17,27.96,28.01,23049217
27-Dec-10,28.12,28.2,27.88,28.07,21654880
23-Dec-10,28.3,28.3,28.3,28.3,0
22-Dec-10,28.01,28.4,27.98,28.19,42255763
21-Dec-10,27.85,28.14,27.76,28.07,38152996
20-Dec-10,27.95,27.99,27.68,27.81,52810910
17-Dec-10,27.92,28.09,27.75,27.9,87456444
16-Dec-10,27.76,27.99,27.66,27.99,57680104
15-Dec-10,27.53,27.99,27.53,27.85,69634200
14-Dec-10,27.31,27.75,27.26,27.62,64095005
13-Dec-10,27.27,27.45,27.17,27.24,47943855
10-Dec-10,27.19,27.4,27.11,27.34,37629009
9-Dec-10,27.28,27.34,27.01,27.08,47148284
8-Dec-10,26.83,27.24,26.8,27.23,41666716
7-Dec-10,27.08,27.13,26.85,26.87,57860447
6-Dec-10,26.93,26.98,26.76,26.84,36273877
3-Dec-10,26.81,27.06,26.78,27.02,52621910
2-Dec-10,26.24,26.98,26.2,26.89,91798687
1-Dec-10,25.57,26.25,25.56,26.04,74123490
30-Nov-10,25.05,25.47,25,25.26,75282094
29-Nov-10,25.19,25.42,24.93,25.31,56608148
26-Nov-10,25.21,25.41,25.17,25.25,21356527
24-Nov-10,25.37,25.37,25.37,25.37,0
23-Nov-10,25.57,25.6,25.09,25.12,69806770
22-Nov-10,25.65,25.74,25.44,25.73,53350441
19-Nov-10,25.8,25.83,25.6,25.69,52423174
18-Nov-10,25.71,26.08,25.61,25.84,59518954
